request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Deterministic calculation selected full_payment.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Deterministic calculation selected full_payment.
request_28,369.6,affordable_later,wait,2024-08-13:1302.4,2024-08-13,none,Deterministic calculation selected wait.
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Deterministic calculation selected full_payment.
request_30,685.52,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_31,10667244.34,affordable_later,wait,2024-09-14:18164000,2024-09-14,none,Deterministic calculation selected wait.
request_32,17511.22,not_affordable,not_recommended,none,2025-04-18,none,Deterministic calculation selected not_recommended.
request_33,51617.8,affordable_later,wait,2026-03-15:118000,2026-03-15,none,Deterministic calculation selected wait.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Deterministic calculation selected full_payment.
request_35,21527.04,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_36,577.28,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_37,5543780.08,not_affordable,not_recommended,none,2024-05-18,none,Deterministic calculation selected not_recommended.
request_38,283.69,affordable_later,wait,2025-09-13:971.3,2025-09-13,none,Deterministic calculation selected wait.
request_39,153228.78,affordable_later,wait,2026-04-14:208600,2026-04-14,none,Deterministic calculation selected wait.
request_40,609.8,affordable_later,wait,2024-08-13:1290.3,2024-08-13,none,Deterministic calculation selected wait.
request_41,9289841.94,affordable_later,wait,2025-11-14:38760000,2025-11-14,none,Deterministic calculation selected wait.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Deterministic calculation selected full_payment.
request_43,12739500,affordable_later,wait,2024-11-12:43339000,2024-11-12,none,Deterministic calculation selected wait.
request_44,33190.12,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_45,5206605,affordable_later,wait,2026-09-13:21983000,2026-09-13,none,Deterministic calculation selected wait.
request_46,27928.94,affordable_with_plan,partial_payment,2024-12-03:27928.94|2024-12-15:21521.06,2024-12-15,none,Deterministic calculation selected partial_payment.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Deterministic calculation selected full_payment.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Deterministic calculation selected full_payment.
